City_ID,City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,0,Carnarvon,AU,2022-02-07 05:04:08,-24.8667,113.6333,78.44,45,5,21.07,clear sky
6,6,Itarema,BR,2022-02-07 05:00:42,-2.9248,-39.9167,76.95,84,2,7.2,clear sky
19,19,Mahebourg,MU,2022-02-07 04:59:18,-20.4081,57.7,81.25,77,100,11.3,overcast clouds
24,24,Kapaa,US,2022-02-07 05:04:16,22.0752,-159.319,75.18,78,20,1.99,few clouds
26,26,Bonthe,SL,2022-02-07 05:03:06,7.5264,-12.505,76.12,91,64,1.19,broken clouds
28,28,Rikitea,PF,2022-02-07 04:59:56,-23.1203,-134.9692,78.98,72,10,17.98,clear sky
29,29,Bambous Virieux,MU,2022-02-07 05:04:18,-20.3428,57.7575,82.22,83,75,11.5,broken clouds
39,39,Souillac,MU,2022-02-07 04:59:39,-20.5167,57.5167,81.36,75,100,10.87,overcast clouds
42,42,Puerto Escondido,MX,2022-02-07 05:04:22,15.85,-97.0667,76.03,83,0,4.61,clear sky
43,43,Ternate,ID,2022-02-07 05:04:23,0.8,127.4,83.35,70,100,7.7,overcast clouds
44,44,Butaritari,KI,2022-02-07 05:04:23,3.0707,172.7902,81.79,76,58,15.86,light rain
45,45,Swan Hill,AU,2022-02-07 05:04:24,-35.3378,143.5544,85.89,20,0,10.04,clear sky
48,48,Vaini,TO,2022-02-07 05:04:25,-21.2,-175.2,75.36,100,100,11.5,moderate rain
53,53,Georgetown,MY,2022-02-07 05:00:57,5.4112,100.3354,87.73,62,20,4.61,few clouds
54,54,Ambagarh Chauki,IN,2022-02-07 05:04:27,20.7833,80.7167,78.44,16,12,0.67,few clouds
55,55,Hobart,AU,2022-02-07 05:00:43,-42.8794,147.3294,81.01,42,20,1.01,few clouds
59,59,Merauke,ID,2022-02-07 05:04:29,-8.4667,140.3333,86.29,64,61,9.69,broken clouds
62,62,Emerald,AU,2022-02-07 05:04:30,-23.5333,148.1667,86.34,30,4,12.84,clear sky
63,63,Avarua,CK,2022-02-07 05:01:03,-21.2078,-159.775,78.85,83,40,11.5,scattered clouds
64,64,Meulaboh,ID,2022-02-07 05:01:55,4.1363,96.1285,79.59,82,98,4.41,overcast clouds
67,67,Bitung,ID,2022-02-07 05:04:32,1.4451,125.1824,86.85,79,89,11.39,overcast clouds
68,68,Tabou,CI,2022-02-07 05:04:32,4.423,-7.3528,78.03,85,99,5.12,light rain
77,77,Ustupo,PA,2022-02-07 05:04:35,9.1333,-77.9333,76.71,84,41,8.81,scattered clouds
79,79,Batemans Bay,AU,2022-02-07 05:04:36,-35.7167,150.1833,75.2,61,48,10.83,scattered clouds
80,80,Perth,AU,2022-02-07 05:04:37,-31.9333,115.8333,75.2,49,75,20.71,broken clouds
81,81,Fare,PF,2022-02-07 05:04:37,-16.7,-151.0167,81.19,74,76,20.04,light rain
87,87,Kralendijk,BQ,2022-02-07 05:04:39,12.15,-68.2667,76.98,83,34,8.05,scattered clouds
91,91,Sao Joao Da Barra,BR,2022-02-07 05:04:40,-21.6403,-41.0511,75.24,89,1,15.66,clear sky
92,92,Saint-Pierre,RE,2022-02-07 05:04:40,-21.3393,55.4781,82.08,69,0,4.61,clear sky
94,94,Kuching,MY,2022-02-07 05:04:41,1.55,110.3333,84.42,74,75,5.75,broken clouds
97,97,Atuona,PF,2022-02-07 05:04:43,-9.8,-139.0333,78.85,78,42,18.12,scattered clouds
103,103,Atambua,ID,2022-02-07 05:04:25,-9.1061,124.8925,83.52,67,44,5.86,scattered clouds
110,110,Boa Vista,BR,2022-02-07 05:04:47,2.8197,-60.6733,80.58,74,40,11.5,scattered clouds
115,115,Port Alfred,ZA,2022-02-07 05:04:49,-33.5906,26.891,76.55,70,56,1.61,broken clouds
117,117,La Primavera,CO,2022-02-07 05:04:50,5.4906,-70.4092,81.91,50,90,4.52,overcast clouds
120,120,New Norfolk,AU,2022-02-07 05:04:51,-42.7826,147.0587,80.65,28,0,3.0,clear sky
135,135,Pundaguitan,PH,2022-02-07 05:04:57,6.3711,126.1689,80.85,77,56,16.91,broken clouds
136,136,Hithadhoo,MV,2022-02-07 05:04:57,-0.6,73.0833,82.62,67,23,14.25,few clouds
137,137,Saint-Georges,GD,2022-02-07 05:04:58,12.0564,-61.7485,77.36,85,77,12.82,broken clouds
139,139,Bodden Town,KY,2022-02-07 05:04:59,19.2833,-81.25,76.93,79,26,3.0,scattered clouds
143,143,Geraldton,AU,2022-02-07 05:05:00,-28.7667,114.6,77.41,31,40,20.71,scattered clouds
148,148,Kalmunai,LK,2022-02-07 05:05:02,7.4167,81.8167,81.54,72,67,12.37,broken clouds
152,152,Puerto Carreno,CO,2022-02-07 05:05:04,6.189,-67.4859,81.05,60,69,0.47,broken clouds
154,154,Alofi,NU,2022-02-07 05:03:44,-19.0595,-169.9187,80.49,89,100,2.3,overcast clouds
157,157,Nelson Bay,AU,2022-02-07 05:05:05,-32.7167,152.15,77.05,62,36,4.0,scattered clouds
162,162,Tam Ky,VN,2022-02-07 05:05:07,15.5667,108.4833,82.38,73,93,5.06,overcast clouds
166,166,Buldana,IN,2022-02-07 05:05:08,20.5333,76.1833,75.22,24,22,1.36,few clouds
167,167,Kendari,ID,2022-02-07 05:05:09,-3.945,122.4989,85.46,70,85,10.56,moderate rain
170,170,Hobyo,SO,2022-02-07 05:05:10,5.3505,48.5268,78.35,65,97,21.65,overcast clouds
182,182,Rantepao,ID,2022-02-07 05:05:14,-2.9701,119.8978,78.62,81,96,2.75,light rain
185,185,Touros,BR,2022-02-07 05:01:03,-5.1989,-35.4608,78.04,78,13,8.3,few clouds
186,186,Sola,VU,2022-02-07 05:01:17,-13.8833,167.55,82.2,80,100,21.88,moderate rain
192,192,Gondanglegi,ID,2022-02-07 05:05:18,-7.7479,112.0132,81.09,85,100,11.36,overcast clouds
195,195,Wanning,CN,2022-02-07 05:05:19,18.8003,110.3967,75.63,81,68,7.56,broken clouds
202,202,Macherla,IN,2022-02-07 05:05:21,16.4833,79.4333,81.52,51,60,7.56,broken clouds
203,203,Grand Gaube,MU,2022-02-07 05:05:21,-20.0064,57.6608,82.38,74,92,8.01,overcast clouds
206,206,Mana,GF,2022-02-07 05:05:22,5.6592,-53.7767,77.0,88,100,6.71,overcast clouds
208,208,Saint-Philippe,RE,2022-02-07 05:01:59,-21.3585,55.7679,81.99,82,95,15.52,overcast clouds
212,212,Limbang,MY,2022-02-07 05:05:25,4.75,115.0,87.91,50,100,2.82,overcast clouds
217,217,Cockburn Town,TC,2022-02-07 05:05:27,21.4612,-71.1419,75.99,76,0,14.58,clear sky
225,225,Lorengau,PG,2022-02-07 05:00:52,-2.0226,147.2712,84.38,72,98,7.45,overcast clouds
228,228,Flinders,AU,2022-02-07 05:05:31,-34.5833,150.8552,75.18,62,45,11.01,scattered clouds
229,229,Kieta,PG,2022-02-07 05:05:31,-6.2167,155.6333,85.6,73,100,10.94,light rain
231,231,Port Blair,IN,2022-02-07 05:05:32,11.6667,92.75,82.44,78,40,12.66,scattered clouds
233,233,Ewa Beach,US,2022-02-07 05:05:33,21.3156,-158.0072,75.15,67,0,5.75,clear sky
244,244,Kavieng,PG,2022-02-07 05:05:36,-2.5744,150.7967,83.89,69,72,2.04,broken clouds
248,248,Ahipara,NZ,2022-02-07 05:05:38,-35.1667,173.1667,75.24,96,98,6.33,overcast clouds
249,249,Madang,PG,2022-02-07 05:05:38,-5.2246,145.7966,87.24,68,94,9.95,overcast clouds
251,251,Vila Velha,BR,2022-02-07 05:03:04,-20.3297,-40.2925,76.95,90,2,4.0,clear sky
256,256,Wattegama,LK,2022-02-07 05:05:41,6.7989,81.4808,81.52,57,94,10.65,overcast clouds
261,261,Esperance,AU,2022-02-07 05:01:05,-33.8667,121.9,76.84,44,11,23.29,few clouds
264,264,Ifanadiana,MG,2022-02-07 05:05:44,-21.3,47.6333,76.23,77,79,2.17,broken clouds
265,265,Antalaha,MG,2022-02-07 05:05:44,-14.9003,50.2788,82.17,65,32,1.83,scattered clouds
277,277,Bengkulu,ID,2022-02-07 05:01:27,-3.8004,102.2655,84.24,63,95,12.01,heavy intensity rain
287,287,Maragogi,BR,2022-02-07 05:05:52,-9.0122,-35.2225,79.18,71,68,3.87,broken clouds
288,288,Saint-Joseph,RE,2022-02-07 05:01:13,-21.3667,55.6167,80.98,76,90,11.14,overcast clouds
290,290,Bubaque,GW,2022-02-07 05:05:53,11.2833,-15.8333,76.17,68,22,8.25,few clouds
294,294,Mayumba,GA,2022-02-07 05:05:55,-3.432,10.6554,75.96,93,67,6.38,broken clouds
295,295,Bathsheba,BB,2022-02-07 05:05:56,13.2167,-59.5167,75.81,88,75,16.11,broken clouds
302,302,Hambantota,LK,2022-02-07 05:05:58,6.1241,81.1185,82.74,74,40,5.75,scattered clouds
310,310,Tiarei,PF,2022-02-07 05:06:01,-17.5333,-149.3333,82.42,77,68,21.09,light rain
311,311,Jamame,SO,2022-02-07 05:06:02,0.0722,42.7506,80.02,70,94,16.04,overcast clouds
315,315,Isangel,VU,2022-02-07 05:06:03,-19.55,169.2667,79.65,90,100,16.89,overcast clouds
320,320,Bandarbeyla,SO,2022-02-07 05:06:05,9.4942,50.8122,76.64,69,99,15.99,overcast clouds
323,323,Faanui,PF,2022-02-07 05:06:06,-16.4833,-151.75,81.3,75,90,20.36,overcast clouds
335,335,Cap Malheureux,MU,2022-02-07 05:06:11,-19.9842,57.6142,82.47,74,94,8.01,overcast clouds
340,340,Salvacion,PH,2022-02-07 05:06:13,7.9833,126.1333,79.47,86,83,7.09,broken clouds
347,347,Dingle,PH,2022-02-07 05:03:35,10.9995,122.6711,84.56,62,44,15.05,scattered clouds
351,351,Pandan,PH,2022-02-07 05:06:16,14.0453,124.1694,79.14,85,88,16.02,overcast clouds
352,352,Mount Gambier,AU,2022-02-07 05:04:45,-37.8333,140.7667,86.77,21,0,7.74,clear sky
353,353,Tulagi,SB,2022-02-07 05:06:17,-9.0996,160.1476,84.18,74,100,10.74,overcast clouds
354,354,Labuhan,ID,2022-02-07 05:06:17,-6.8844,112.2051,79.79,85,100,17.78,heavy intensity rain
366,366,Yanam,IN,2022-02-07 05:06:22,16.7333,82.2167,81.0,50,72,5.46,broken clouds
369,369,Eydhafushi,MV,2022-02-07 05:06:23,5.1033,73.0708,81.3,70,79,12.41,broken clouds
379,379,Silanga,PH,2022-02-07 05:06:27,11.8181,124.8431,83.44,72,76,13.76,broken clouds
380,380,Teahupoo,PF,2022-02-07 05:06:27,-17.8333,-149.2667,76.96,77,62,20.76,light rain
389,389,Rockhampton,AU,2022-02-07 05:06:30,-23.3833,150.5,84.09,42,40,12.66,scattered clouds
394,394,Paungde,MM,2022-02-07 05:06:32,18.4833,95.5,84.02,18,94,7.0,overcast clouds
397,397,Arawa,PG,2022-02-07 05:06:33,-6.2132,155.5367,86.45,71,100,7.29,light rain
399,399,Pizarro,CO,2022-02-07 05:06:34,4.9533,-77.366,76.1,85,50,1.79,light rain
406,406,Kiama,AU,2022-02-07 05:04:00,-34.6833,150.8667,75.38,62,40,15.99,scattered clouds
409,409,Namatanai,PG,2022-02-07 05:06:37,-3.6667,152.4333,85.01,70,100,7.92,overcast clouds
415,415,Indi,IN,2022-02-07 05:06:40,17.1667,75.9667,81.05,40,49,6.29,scattered clouds
417,417,Aden,YE,2022-02-07 05:06:40,12.7794,45.0367,77.27,67,94,9.08,overcast clouds
421,421,Mareeba,AU,2022-02-07 05:06:42,-17.0,145.4333,84.43,70,50,6.08,scattered clouds
431,431,Port Lincoln,AU,2022-02-07 05:06:46,-34.7333,135.8667,79.57,47,1,18.39,clear sky
432,432,Poum,NC,2022-02-07 05:06:46,-20.2333,164.0167,81.1,87,100,28.74,light rain
435,435,Bambanglipuro,ID,2022-02-07 05:06:47,-7.95,110.2833,84.94,66,100,4.76,overcast clouds
442,442,Ambilobe,MG,2022-02-07 05:06:50,-13.2,49.05,79.12,82,28,2.55,scattered clouds
445,445,Sao Jose Da Coroa Grande,BR,2022-02-07 05:06:51,-8.8978,-35.1478,79.3,71,70,4.54,broken clouds
446,446,Cayenne,GF,2022-02-07 05:06:52,4.9333,-52.3333,80.1,87,75,4.0,broken clouds
447,447,Gizo,SB,2022-02-07 05:06:52,-8.103,156.8419,85.3,72,100,10.94,light rain
449,449,Sarramea,NC,2022-02-07 05:06:53,-21.6421,165.8452,77.92,84,85,11.1,overcast clouds
450,450,Sabang,ID,2022-02-07 05:06:53,5.8933,95.3214,79.45,79,99,11.01,overcast clouds
453,453,Rapu-Rapu,PH,2022-02-07 05:06:54,13.1866,124.1256,81.48,76,85,16.13,overcast clouds
461,461,Conakry,GN,2022-02-07 05:06:57,9.538,-13.6773,76.5,79,3,5.79,clear sky
466,466,Batticaloa,LK,2022-02-07 05:07:00,7.7102,81.6924,81.0,73,49,10.96,scattered clouds
469,469,Lamu,KE,2022-02-07 05:07:01,-2.2717,40.902,80.82,80,100,13.94,overcast clouds
471,471,Oranjestad,AW,2022-02-07 05:07:02,12.524,-70.027,78.75,78,20,12.66,few clouds
473,473,The Valley,AI,2022-02-07 05:07:03,18.217,-63.0578,77.09,68,91,22.1,overcast clouds
477,477,Daru,PG,2022-02-07 05:07:04,-9.0763,143.2092,83.53,77,98,5.06,overcast clouds
478,478,Nha Trang,VN,2022-02-07 05:06:54,12.25,109.1833,84.2,67,88,8.14,overcast clouds
487,487,San Policarpo,PH,2022-02-07 05:05:07,12.1791,125.5072,80.71,80,70,17.31,broken clouds
488,488,Neiafu,TO,2022-02-07 05:07:08,-18.65,-173.9833,75.88,88,100,8.05,overcast clouds
489,489,Matara,LK,2022-02-07 05:07:09,5.9485,80.5353,86.97,55,96,1.12,light rain
494,494,Honiara,SB,2022-02-07 05:07:11,-9.4333,159.95,85.23,73,100,8.32,light rain
506,506,Gladstone,AU,2022-02-07 05:04:12,-23.85,151.25,84.78,51,40,12.66,scattered clouds
516,516,Camocim,BR,2022-02-07 05:07:19,-2.9022,-40.8411,75.4,89,26,7.43,scattered clouds
519,519,Vangaindrano,MG,2022-02-07 05:07:20,-23.35,47.6,77.61,94,100,7.16,light rain
521,521,Omboue,GA,2022-02-07 05:07:21,-1.5746,9.2618,76.69,89,78,5.23,broken clouds
534,534,Charters Towers,AU,2022-02-07 05:07:25,-20.1,146.2667,81.81,47,99,9.13,overcast clouds
535,535,Kavaratti,IN,2022-02-07 05:07:26,10.5669,72.642,78.01,67,11,7.85,few clouds
538,538,Quatre Cocos,MU,2022-02-07 05:07:28,-20.2078,57.7625,82.09,77,97,10.22,overcast clouds
549,549,Inhambane,MZ,2022-02-07 05:07:32,-23.865,35.3833,78.8,71,85,15.3,overcast clouds
557,557,Ambulu,ID,2022-02-07 05:07:35,-8.345,113.6058,86.85,67,35,3.56,scattered clouds
559,559,Luwuk,ID,2022-02-07 05:07:35,-0.9516,122.7875,87.37,64,94,2.8,overcast clouds
565,565,Aracati,BR,2022-02-07 05:07:38,-4.5617,-37.7697,78.42,79,10,6.85,clear sky
569,569,Panalingaan,PH,2022-02-07 05:07:39,8.7842,117.4231,87.17,57,90,1.86,overcast clouds
580,580,Auki,SB,2022-02-07 05:04:14,-8.7676,160.7034,83.52,80,100,10.8,overcast clouds
583,583,Chiang Khong,TH,2022-02-07 05:07:44,20.2613,100.4046,83.64,74,99,2.04,overcast clouds
586,586,Moree,AU,2022-02-07 05:07:45,-29.4667,149.85,86.02,25,75,5.75,broken clouds
588,588,Davila,PH,2022-02-07 05:07:46,18.4726,120.5763,81.55,66,72,7.96,broken clouds
590,590,Vung Tau,VN,2022-02-07 05:07:47,10.346,107.0843,82.08,69,22,13.42,few clouds
597,597,Le Port,RE,2022-02-07 05:07:50,-20.9373,55.2919,82.4,70,88,9.31,overcast clouds
600,600,Taganak,PH,2022-02-07 05:07:51,6.0833,118.3,81.48,78,100,12.44,overcast clouds
604,604,Thinadhoo,MV,2022-02-07 05:06:17,0.5333,72.9333,82.63,63,97,13.53,overcast clouds
616,616,Majene,ID,2022-02-07 05:07:57,-3.5403,118.9707,84.63,73,99,4.81,overcast clouds
