,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
0,Carnarvon,AU,78.44,clear sky,-24.8667,113.6333,Hospitality Carnarvon
6,Itarema,BR,76.95,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
19,Mahebourg,MU,81.25,overcast clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
24,Kapaa,US,75.18,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
26,Bonthe,SL,76.12,broken clouds,7.5264,-12.505,Bonthe Holiday Village
28,Rikitea,PF,78.98,clear sky,-23.1203,-134.9692,People ThankYou
29,Bambous Virieux,MU,82.22,broken clouds,-20.3428,57.7575,Casa Tia Villa
39,Souillac,MU,81.36,overcast clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
42,Puerto Escondido,MX,76.03,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
43,Ternate,ID,83.35,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
44,Butaritari,KI,81.79,light rain,3.0707,172.7902,Isles Sunset Lodge
45,Swan Hill,AU,85.89,clear sky,-35.3378,143.5544,Lazy River Motor Inn
48,Vaini,TO,75.36,moderate rain,-21.2,-175.2,Keleti Beach Resort
53,Georgetown,MY,87.73,few clouds,5.4112,100.3354,Cititel Penang
54,Ambagarh Chauki,IN,78.44,few clouds,20.7833,80.7167,गाँधी चौक शांति भवन सोनसाय टोला
55,Hobart,AU,81.01,few clouds,-42.8794,147.3294,Mantra on Collins Hobart
59,Merauke,ID,86.29,broken clouds,-8.4667,140.3333,NaN
62,Emerald,AU,86.34,clear sky,-23.5333,148.1667,The Irish Village
63,Avarua,CK,78.85,scattered clouds,-21.2078,-159.775,Paradise Inn
64,Meulaboh,ID,79.59,overcast clouds,4.1363,96.1285,Kost Pria
67,Bitung,ID,86.85,overcast clouds,1.4451,125.1824,K2 Lembeh
68,Tabou,CI,78.03,light rain,4.423,-7.3528,hotêl doufoulougou
77,Ustupo,PA,76.71,scattered clouds,9.1333,-77.9333,NaN
79,Batemans Bay,AU,75.2,scattered clouds,-35.7167,150.1833,Batemans Bay Marina Resort
80,Perth,AU,75.2,broken clouds,-31.9333,115.8333,Beatty Lodge
81,Fare,PF,81.19,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
87,Kralendijk,BQ,76.98,scattered clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
91,Sao Joao Da Barra,BR,75.24,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
92,Saint-Pierre,RE,82.08,clear sky,-21.3393,55.4781,Lindsey Hôtel
94,Kuching,MY,84.42,broken clouds,1.55,110.3333,The Ranee Boutique Suites
97,Atuona,PF,78.85,scattered clouds,-9.8,-139.0333,Villa Enata
103,Atambua,ID,83.52,scattered clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
110,Boa Vista,BR,80.58,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
115,Port Alfred,ZA,76.55,broken clouds,-33.5906,26.891,The Halyards Hotel
117,La Primavera,CO,81.91,overcast clouds,5.4906,-70.4092,La Riviera Hotel Colonial
120,New Norfolk,AU,80.65,clear sky,-42.7826,147.0587,The Shingles Riverside Cottages
135,Pundaguitan,PH,80.85,broken clouds,6.3711,126.1689,Leonardo Family Beach House 1
136,Hithadhoo,MV,82.62,few clouds,-0.6,73.0833,Scoop Guest House
137,Saint-Georges,GD,77.36,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
139,Bodden Town,KY,76.93,scattered clouds,19.2833,-81.25,Will T Place
143,Geraldton,AU,77.41,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
148,Kalmunai,LK,81.54,broken clouds,7.4167,81.8167,VS Villa
152,Puerto Carreno,CO,81.05,broken clouds,6.189,-67.4859,Casa Hotel Victoria
154,Alofi,NU,80.49,overcast clouds,-19.0595,-169.9187,Taloa Heights
157,Nelson Bay,AU,77.05,scattered clouds,-32.7167,152.15,Mantra Nelson Bay
162,Tam Ky,VN,82.38,overcast clouds,15.5667,108.4833,Khách Sạn Đông Á
166,Buldana,IN,75.22,few clouds,20.5333,76.1833,Saikrupa Lawns
167,Kendari,ID,85.46,moderate rain,-3.945,122.4989,Hotel Wixel
170,Hobyo,SO,78.35,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
182,Rantepao,ID,78.62,light rain,-2.9701,119.8978,Hotel Luta Resort
185,Touros,BR,78.04,few clouds,-5.1989,-35.4608,INN NEW HORIZON
186,Sola,VU,82.2,moderate rain,-13.8833,167.55,Leumerus Bungalows
192,Gondanglegi,ID,81.09,overcast clouds,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
195,Wanning,CN,75.63,broken clouds,18.8003,110.3967,Paradise Hotel
202,Macherla,IN,81.52,broken clouds,16.4833,79.4333,Vivek express
203,Grand Gaube,MU,82.38,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
206,Mana,GF,77.0,overcast clouds,5.6592,-53.7767,LE SAMANA
208,Saint-Philippe,RE,81.99,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
212,Limbang,MY,87.91,overcast clouds,4.75,115.0,Purnama Hotel
217,Cockburn Town,TC,75.99,clear sky,21.4612,-71.1419,Osprey Beach Hotel
225,Lorengau,PG,84.38,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
228,Flinders,AU,75.18,scattered clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
229,Kieta,PG,85.6,light rain,-6.2167,155.6333,Uruna Bay Retreat
231,Port Blair,IN,82.44,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
233,Ewa Beach,US,75.15,clear sky,21.3156,-158.0072,Uncle Junior Robert
244,Kavieng,PG,83.89,broken clouds,-2.5744,150.7967,Nusa Island Retreat
248,Ahipara,NZ,75.24,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
249,Madang,PG,87.24,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
251,Vila Velha,BR,76.95,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
256,Wattegama,LK,81.52,overcast clouds,6.7989,81.4808,NaN
261,Esperance,AU,76.84,few clouds,-33.8667,121.9,Hospitality Esperance
264,Ifanadiana,MG,76.23,broken clouds,-21.3,47.6333,NaN
265,Antalaha,MG,82.17,scattered clouds,-14.9003,50.2788,Hotel Vitasoa
277,Bengkulu,ID,84.24,heavy intensity rain,-3.8004,102.2655,Grage Hotel Bengkulu
287,Maragogi,BR,79.18,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
288,Saint-Joseph,RE,80.98,overcast clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
290,Bubaque,GW,76.17,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
294,Mayumba,GA,75.96,broken clouds,-3.432,10.6554,LIKWALE LODGE
295,Bathsheba,BB,75.81,broken clouds,13.2167,-59.5167,Atlantis Hotel
302,Hambantota,LK,82.74,scattered clouds,6.1241,81.1185,Bungalow 63
