City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Carnarvon,AU,2/7/2022 5:04,-24.8667,113.6333,78.44,45,5,21.07,clear sky
1,Mataura,NZ,2/7/2022 4:59,-46.1927,168.8643,59.49,45,5,5.14,clear sky
2,Cidreira,BR,2/7/2022 5:04,-30.1811,-50.2056,66.85,74,9,8.61,clear sky
3,Provideniya,RU,2/7/2022 5:04,64.3833,-173.3,-0.29,65,4,4.47,clear sky
4,Tiksi,RU,2/7/2022 5:03,71.6872,128.8694,-18.04,98,100,6.93,overcast clouds
5,Reconquista,AR,2/7/2022 5:04,-29.15,-59.65,61.38,43,0,6.29,clear sky
6,Itarema,BR,2/7/2022 5:00,-2.9248,-39.9167,76.95,84,2,7.2,clear sky
7,Kaitangata,NZ,2/7/2022 5:03,-46.2817,169.8464,58.93,80,32,7.34,scattered clouds
8,Albany,US,2/7/2022 5:00,42.6001,-73.9662,19.67,79,14,2.62,few clouds
9,Milledgeville,US,2/7/2022 5:02,33.0801,-83.2321,43.88,91,98,5.21,light rain
10,Punta Arenas,CL,2/7/2022 5:01,-53.15,-70.9167,53.11,81,92,3.78,overcast clouds
11,Baruun-Urt,MN,2/7/2022 5:04,46.6806,113.2792,13.95,71,8,8.99,clear sky
12,Khairagarh,IN,2/7/2022 5:04,26.95,77.8167,65.35,45,1,6.06,clear sky
13,Ushuaia,AR,2/7/2022 4:59,-54.8,-68.3,60.46,72,40,11.5,scattered clouds
14,Abay,KZ,2/7/2022 5:04,49.6311,72.8539,21.58,95,92,13.96,light snow
15,Longyearbyen,SJ,2/7/2022 5:04,78.2186,15.6401,17.44,73,75,12.66,broken clouds
16,Qaanaaq,GL,2/7/2022 5:04,77.484,-69.3632,-11.18,59,27,7.38,scattered clouds
17,Bilma,NE,2/7/2022 5:04,18.6853,12.9164,55.51,18,0,8.7,clear sky
18,Hermanus,ZA,2/7/2022 5:04,-34.4187,19.2345,66.79,92,59,2.24,broken clouds
19,Mahebourg,MU,2/7/2022 4:59,-20.4081,57.7,81.25,77,100,11.3,overcast clouds
20,Tasiilaq,GL,2/7/2022 4:59,65.6145,-37.6368,16.7,57,100,63.1,light snow
21,Taoudenni,ML,2/7/2022 5:04,22.6783,-3.9836,62.96,15,35,9.62,scattered clouds
22,Nacogdoches,US,2/7/2022 5:04,31.6002,-94.6335,39.78,79,0,0,clear sky
23,Nanortalik,GL,2/7/2022 5:04,60.1432,-45.2371,17.06,76,100,55.19,overcast clouds
24,Kapaa,US,2/7/2022 5:04,22.0752,-159.319,75.18,78,20,1.99,few clouds
25,Fengrun,CN,2/7/2022 5:04,39.8333,118.1167,36.75,24,99,2.86,overcast clouds
26,Bonthe,SL,2/7/2022 5:03,7.5264,-12.505,76.12,91,64,1.19,broken clouds
27,Sioux Lookout,CA,2/7/2022 5:04,50.1001,-91.917,-11.45,100,80,4.09,broken clouds
28,Rikitea,PF,2/7/2022 4:59,-23.1203,-134.9692,78.98,72,10,17.98,clear sky
29,Bambous Virieux,MU,2/7/2022 5:04,-20.3428,57.7575,82.22,83,75,11.5,broken clouds
30,Chokurdakh,RU,2/7/2022 5:04,70.6333,147.9167,-41.58,99,85,3.22,overcast clouds
31,Jega,NG,2/7/2022 5:04,12.2175,4.3792,65.16,17,0,10.65,clear sky
32,Busselton,AU,2/7/2022 5:00,-33.65,115.3333,72.09,42,49,20.54,scattered clouds
33,Mapastepec,MX,2/7/2022 5:04,15.4333,-92.9,72.7,69,5,4.43,clear sky
34,Dudinka,RU,2/7/2022 5:04,69.4058,86.1778,-34.96,100,42,1.81,scattered clouds
35,Vardo,NO,2/7/2022 5:00,70.3705,31.1107,21.4,82,48,20.38,scattered clouds
36,Bluff,NZ,2/7/2022 5:04,-46.6,168.3333,59.81,68,0,14.41,clear sky
37,Thompson,CA,2/7/2022 5:04,55.7435,-97.8558,-2.29,94,100,9.22,overcast clouds
38,Atar,MR,2/7/2022 5:04,20.5169,-13.0499,68.13,11,22,5.61,few clouds
39,Souillac,MU,2/7/2022 4:59,-20.5167,57.5167,81.36,75,100,10.87,overcast clouds
40,Tuktoyaktuk,CA,2/7/2022 5:04,69.4541,-133.0374,-15.43,96,100,15.14,overcast clouds
41,Usolye,RU,2/7/2022 5:04,59.4268,56.6808,8.22,92,71,4.65,broken clouds
42,Puerto Escondido,MX,2/7/2022 5:04,15.85,-97.0667,76.03,83,0,4.61,clear sky
43,Ternate,ID,2/7/2022 5:04,0.8,127.4,83.35,70,100,7.7,overcast clouds
44,Butaritari,KI,2/7/2022 5:04,3.0707,172.7902,81.79,76,58,15.86,light rain
45,Swan Hill,AU,2/7/2022 5:04,-35.3378,143.5544,85.89,20,0,10.04,clear sky
46,Yellowknife,CA,2/7/2022 5:03,62.456,-114.3525,-3.71,96,100,2.19,overcast clouds
47,Pavlysh,UA,2/7/2022 5:04,48.9176,33.3569,31.51,92,76,14.58,broken clouds
48,Vaini,TO,2/7/2022 5:04,-21.2,-175.2,75.36,100,100,11.5,moderate rain
49,Mar Del Plata,AR,2/7/2022 5:01,-38.0023,-57.5575,65.08,79,30,5.01,scattered clouds
50,Sao Filipe,CV,2/7/2022 5:04,14.8961,-24.4956,71.58,76,9,3.22,clear sky
51,Fortuna,US,2/7/2022 5:03,40.5982,-124.1573,45.66,96,100,6.91,overcast clouds
52,Alta Floresta,BR,2/7/2022 5:01,-9.8756,-56.0861,71.15,97,95,1.79,overcast clouds
53,Georgetown,MY,2/7/2022 5:00,5.4112,100.3354,87.73,62,20,4.61,few clouds
54,Ambagarh Chauki,IN,2/7/2022 5:04,20.7833,80.7167,78.44,16,12,0.67,few clouds
